# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*G*EVER-------,S * G * EV ER -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.ARMERV,Armored Engineer Recon Vehicle (Aerv),
S*G*EVES-------,S * G * EV ES -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.AST,Armored Assault,
S*G*EVEH-------,S * G * EV EH -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.BH,Backhoe,
S*G*EVEB-------,S * G * EV EB -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.BRG,Bridge,
S*G*EVEC-------,S * G * EV EC -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.CSNVEH,Construction Vehicle,
S*G*EVED-------,S * G * EV ED -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.DZR,Dozer,
S*G*EVEDA------,S * G * EV ED A- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.DZR.ARMD,Armored Dozer,
S*G*EVEE-------,S * G * EV EE -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.ERHMR,Earthmover,
S*G*EVEF-------,S * G * EV EF -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.FRYTSP,Ferry Transporter,
S*G*EVEA-------,S * G * EV EA -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MCVEH,Mine Clearing Vehicle,
S*G*EVEAA------,S * G * EV EA A- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MCVEH.ARMVM,Armored Mounted Mine Clearing Vehicle,
S*G*EVEAT------,S * G * EV EA T- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MCVEH.TM,Trailer Mounted Mine Clearing Vehicle,
S*G*EVEM-------,S * G * EV EM -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH,Mine Laying Vehicle,
S*G*EVEMV------,S * G * EV EM V- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH.ARMCV,Armored Carrier With Volcano,
S*G*EVEML------,S * G * EV EM L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH.TRKMV,Truck Mounted With Volcano,
S*G*EVS--------,S * G * EV S- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT,Missile Support Vehicle,
S*G*EVSC-------,S * G * EV SC -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT.CRN,Missile Support Vehicle Crane/Loading Device,
S*G*EVSP-------,S * G * EV SP -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT.PLNT,Missile Support Vehicle Propellant Transporter,
S*G*EVST-------,S * G * EV ST -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT.TLDR,Missile Support Vehicle Transloader,
S*G*EVSR-------,S * G * EV SR -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT.TPTR,Missile Support Vehicle Transporter,
S*G*EVSW-------,S * G * EV SW -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.MSLSPT.WH,Missile Support Vehicle Warhead Transporter,
S*G*EVM--------,S * G * EV M- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.PKAN,Pack Animal(S),
S*G*EVT--------,S * G * EV T- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.TRNLCO,Train Locomotive,
S*G*EVU--------,S * G * EV U- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH,Utility Vehicle,
S*G*EVUA-------,S * G * EV UA -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.AMBLNC,Ambulance,
S*G*EVUAA------,S * G * EV UA A- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.AMBLNC.ARMD,Armored Ambulance,
S*G*EVUB-------,S * G * EV UB -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.BUS,Bus,
S*G*EVUX-------,S * G * EV UX -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.CCTRK,Cross-Country Truck,
S*G*EVUR-------,S * G * EV UR -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.H2OCRT,Water Craft,
S*G*EVUL-------,S * G * EV UL -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.LCCTRK,Limited Cross-Country Truck,
S*G*EVUS-------,S * G * EV US -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.SEMI,Semi,
S*G*EVUSH------,S * G * EV US H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.HVY,Semi Heavy,
S*G*EVUSL------,S * G * EV US L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.LIT,Semi Light,
S*G*EVUSM------,S * G * EV US M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.MDM,Semi Medium,
S*G*EVUT-------,S * G * EV UT -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK,Tow Truck,
